ID;Наименование;МКБ-10;Возрастная категория;Разработчик;Статус одобрения НПС;Дата размещения;Статус применения
724_2;Острые респираторные вирусные инфекции (ОРВИ) у взрослых;B34.0, B34.2, B34.9, B97.0, B97.4, J00, J01, J02, J03, J04, J05, J06, J20, J21, J22;Взрослые;"Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ)";Да;04.08.2025;Применяется
932_1;Описторхоз у взрослых и детей;B66.0;Взрослые, дети;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;31.07.2025;Применяется
718_2;Острый гепатит A (ГА) у взрослых;B15;Взрослые;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;29.07.2025;Применяется
931_1;Кисты челюстно-лицевой области и шеи;K04.8, K09, K11.6, L72.0, Q18.0, Q18.1, Q18.2, Q18.8;Взрослые, дети;"Ассоциация общественных объединений ""Стоматологическая Ассоциация России"", ООО «Общество специалистов в области челюстно-лицевой хирургии»";Да;28.07.2025;Применяется
249_2;Грипп;J09, J10, J11;Дети;"Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням"", Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ)";Да;25.07.2025;Применяется
930_1;Эритемы;L53.1, L53.2, L53.3, L53.8, L53.9, L59.0;Взрослые, дети;"Союз педиатров России, Общероссийская общественная организация ""Национальный альянс дерматовенерологов и косметологов""";Да;23.07.2025;Применяется
929_1;Хламидийная лимфогранулёма (венерическая);A55;Взрослые;"Общероссийская общественная организация ""Национальный альянс дерматовенерологов и косметологов"", Гильдия специалистов по инфекциям, передаваемым половым путем «ЮСТИ РУ»";Да;23.07.2025;Применяется
49_3;Врожденный клапанный стеноз аорты ;Q23.0, Q23.1;Дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  , Национальная ассоциация экспертов по санаторно-курортному лечению";Да;22.07.2025;Применяется
730_2;Дефект аортолегочной перегородки ;I27.8, Q21.4;Взрослые, дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России""";Да;21.07.2025;Применяется
737_2;Общий артериальный ствол;I27.8, Q20.0;Взрослые, дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России""";Да;18.07.2025;Применяется
82_3;Врожденная дисфункция коры надпочечников (адреногенитальный синдром);E25.0, E25.8, E25.9;Взрослые;Российская ассоциация эндокринологов, Российское общество акушеров-гинекологов;Да;17.07.2025;Применяется
675_2;Биполярное аффективное расстройство;F31;Взрослые;"Общественная организация ""Российское общество психиатров""";Да;17.07.2025;Применяется
532_5;Саркомы костей;C40, C41, D48.0;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Автономная некоммерческая организация ""Восточно-Европейская группа по изучению сарком""";Да;16.07.2025;Применяется
928_1;Баланопостит;N48.1, N51.2;Взрослые;"Общероссийская общественная организация ""Российское общество урологов"", Союз «Национальный альянс дерматовенерологов и косметологов», Гильдия специалистов по инфекциям, передаваемым половым путем «ЮСТИ РУ»";Да;16.07.2025;Применяется
745_2;Врожденный подклапанный стеноз аорты;Q24.4;Дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  , Национальная ассоциация экспертов по санаторно-курортному лечению";Да;15.07.2025;Применяется
744_2;Врожденная митральная недостаточность (ВМН);I05.1, I08.0, I34.0, I34.1, I34.8, Q23.3;Дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  ";Да;15.07.2025;Применяется
731_2;Врожденный стеноз клапана легочной артерии;Q22.1;Дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России""";Да;15.07.2025;Применяется
927_1;Перикардиты и заболевания перикарда  у детей;I30, I31, I32;Дети;"Всероссийская общественная организация ""Ассоциация детских кардиологов России""";Да;15.07.2025;Применяется
408_2;Миокардиты у детей;I01.2, I09.0, I40, I41, I51.4;Дети;"Всероссийская общественная организация ""Ассоциация детских кардиологов России""";Да;14.07.2025;Применяется
396_4;Рак ободочной кишки и ректосигмоидного перехода;C18, C19, D01.0;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Российское общество специалистов по колоректальному раку
";Да;11.07.2025;Применяется
926_1;ТОКСИЧЕСКОЕ ДЕЙСТВИЕ ДРУГИХ ЯДОВИТЫХ ВЕЩЕСТВ, СОДЕРЖАЩИХСЯ В СЪЕДЕННЫХ, ГРИБАХ (НЕ ВКЛЮЧЕНЫ ГРИБЫ ПСИХОДИСЛЕПТИКИ [ГАЛЛЮЦИНОГЕНЫ]);T62.0;Взрослые, дети;"Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов"", Общероссийская общественная организация «Российское общество скорой медицинской помощи»";Да;10.07.2025;Применяется
1_4;Рак печени (гепатоцеллюлярный);C22.0, D37.6;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Междисциплинарное общество специалистов по опухолям печени;Да;09.07.2025;Применяется
44_3;Единственный желудочек сердца;Q20.4;Взрослые, дети;"Ассоциация сердечно-сосудистых хирургов России, Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  ";Да;08.07.2025;Применяется
925_1;Вирусные кишечные инфекции (гастроэнтериты) у детей ;A08.2, A08.3, A08.4, A08.5, A09;Дети;"Межрегиональная общественная организация ""Ассоциация врачей-инфекционистов Санкт-Петербурга и Ленинградской области"", Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням""";Да;08.07.2025;Применяется
924_1;Здоровый новорожденный, рожденный в условиях стационара;Z00.1, Z37.0, Z37.2, Z37.5, Z38.0, Z38.3, Z38.6;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;08.07.2025;Применяется
923_1;Хронический гепатит В (ХГВ) у детей ;B18.1;Дети;"Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням""";Да;07.07.2025;Применяется
120_2;Ph-негативные миелопролиферативные новообразования;D45, D47.1, D47.3, D47.4, D75.1;Взрослые;"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";Да;04.07.2025;Применяется
739_2;Рассеянный склероз;G35, G36.9, G37.9;Взрослые, дети;Всероссийское общество неврологов, Национальное общество нейрорадиологов, Медицинская ассоциация врачей и центров рассеянного склероза и других нейроиммунологических заболеваний;Да;03.07.2025;Применяется
922_1;Косоглазие содружественное ;H50.0, H50.1;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";Да;03.07.2025;Применяется
921_1;Меланома кожи и слизистых оболочек;C00-C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C30, C31, C32, C43, C51, C52, C53, C60.9, C63.2, C69.0, C77, C78, C79, D03;Взрослые, дети;Ассоциация онкологов России, Ассоциация специалистов по проблемам меланомы, Общероссийская общественная организация «Российское общество клинической онкологии», Российское общество детских онкологов и гематологов;Да;02.07.2025;Применяется
554_4;Рак прямой кишки;C20, D01.2, D37.5;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Российское общество специалистов по колоректальному раку
";Да;30.06.2025;Применяется
920_1;Мозоли и омозолелости;L84;Взрослые, дети;"Союз педиатров России, Общероссийская общественная организация ""Национальный альянс дерматовенерологов и косметологов""";Да;25.06.2025;Применяется
401_2;Хроническая сердечная недостаточность у детей;I42.0, I42.8, I42.9, I50.0, I50.1, I50.9, P29.0, Q24.8;Дети;"Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Российское трансплантологическое общество
";Да;25.06.2025;Применяется
395_3;Мукополисахаридоз тип VI   ;E76.2;Дети;Союз педиатров России, Ассоциация медицинских генетиков;Да;25.06.2025;Применяется
627_3;Гипопаратиреоз у взрослых ;E20.0, E20.8, E20.9, E89.2;Взрослые;"Российская ассоциация эндокринологов, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Ассоциации эндокринных хирургов";Да;23.06.2025;Применяется
270_2;Тиреотоксикоз с диффузным зобом (болезнь Грейвса), узловым/многоузловым зобом;E05.0, E05.1, E05.2, E05.3, E05.4, E05.5, E05.8;Взрослые;Российская ассоциация эндокринологов;Да;20.06.2025;Применяется
160_2;Брадиаритмии и нарушения проводимости;I44, I44.0, I44.1, I44.2, I44.3, I44.4, I44.5, I44.6, I44.7, I45.0, I45.1, I45.2, I45.3, I45.4, I45.5, I45.8, I45.9, I46, I46.0, I46.1, I46.9, I49.5;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и кардиостимуляции;Да;18.06.2025;Применяется
619_3;Наджелудочковые тахикардии;I47.1, I47.9;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и кардиостимуляции;Да;17.06.2025;Применяется
53_2;Аневризмы брюшной аорты;I71.3, I71.4;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Ассоциация флебологов России, Общероссийская общественная организация «Российское кардиологическое общество», Российское общество ангиологов и сосудистых хирургов, Общероссийская общественная организация ""Российское общество хирургов"", Автономная некоммерческая организация ""Национальное общество по изучению атеросклероза"", Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Российская Ассоциация специалистов функциональной диагностики";Да;11.06.2025;Применяется
919_1;Аневризмы грудной и торакоабдоминальной аорты;I71.1, I71.2, I71.5, I71.6, I71.8, I71.9;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Российское общество ангиологов и сосудистых хирургов, Общероссийская общественная организация ""Российское общество хирургов"", Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению";Да;11.06.2025;Применяется
918_1;Вульварные интраэпителиальные неоплазии;N84.3, N90.0, N90.1, N90.2, N90.3, N90.4, N90.6, N90.7, N90.8;Взрослые, дети;Российское общество акушеров-гинекологов;Да;05.06.2025;Применяется
917_1;Гипербилирубинемия недоношенных;P59.0;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;04.06.2025;Применяется
916_1;Неонатальная желтуха;P58.0, P58.1, P58.3, P58.5, P58.8, P58.9, P59.8, P59.9;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;04.06.2025;Применяется
71_3;Ретинобластома;C69.2;Дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России», Российское общество детских онкологов и гематологов";Да;04.06.2025;Применяется
287_3;Сахарный диабет 1 типа у детей;E10.1, E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E10.9;Дети;Российская ассоциация эндокринологов;Да;30.05.2025;Применяется
914_1;Врожденная дисфункция коры надпочечников(Адреногенитальный синдром);E25, E25.0, E25.8, E25.9;Дети;Российская ассоциация эндокринологов;Да;30.05.2025;Применяется
915_1;Острый промиелоцитарный лейкоз;C92.4;Дети;Российское общество детских онкологов и гематологов;Да;29.05.2025;Применяется
585_2;Первичные опухоли центральной нервной системы ;C70.0, C70.1, C70.9, C71.0, C71.1, C71.2, C71.3, C71.4, C71.5, C71.6, C71.7, C71.8, C71.9, C72.0, C72.1, C72.2, C72.3, C72.4, C72.5, C72.8, C72.9, D18.0, D18.1, D32.0, D32.1, D32.9, D33, D42.0, D42.1, D42.9, D43.0, D43.1, D43.2, D43.3, D43.4, D43.7, D43.9, D48.2;Взрослые;Ассоциация нейрохирургов России, Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»;Да;29.05.2025;Применяется
380_3;Мукополисахаридоз тип I;E76.0;Дети;Союз педиатров России, Ассоциация медицинских генетиков;Да;28.05.2025;Применяется
108_2;Врожденная катаракта;H27.0, Q12.0;Дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";Да;28.05.2025;Применяется
555_3;Плоскоклеточный рак анального канала, анального края, перианальной кожи;C21, C44.5;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Российское общество специалистов по колоректальному раку
";Да;27.05.2025;Применяется
100_2;Увеальная меланома;C69.3, C69.4, C69.8;Взрослые;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Ассоциация онкологов России, Ассоциация специалистов по проблемам меланомы, Общероссийская общественная организация «Общество офтальмологов России»";Да;26.05.2025;Применяется
497_2;Мезотелиома плевры, брюшины  и других локализаций;C38.4, C45, D20.1, D38.2, D48.4;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»;Да;26.05.2025;Применяется
515_3;Саркомы мягких тканей;C49, D48.1, D48.2;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Автономная некоммерческая организация ""Восточно-Европейская группа по изучению сарком""";Да;23.05.2025;Применяется
740_3;Аниридия врожденная;Q13.1;Дети;"Союз педиатров России, Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России», Ассоциация медицинских генетиков";Да;22.05.2025;Применяется
153_2;Миокардиты ;I40, I40.0, I40.1, I40.8, I40.9, I41, I41.0, I41.1, I41.2, I41.8, I51.4;Взрослые;"Общероссийская общественная организация «Российское кардиологическое общество», Общероссийская общественная организация ""Общество специалистов по сердечной недостаточности"", Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Общероссийская общественная организация ""Российское общество патологоанатомов"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  , Евразийская ассоциация терапевтов, Национальная ассоциация экспертов по санаторно-курортному лечению";Да;22.05.2025;Применяется
341_2;Рак коры надпочечника (Адренокортикальный рак);C74.0, C74.9, D44.1;Взрослые, дети;Российская ассоциация эндокринологов, Ассоциация онкологов России, Ассоциации эндокринных хирургов, Российское общество детских онкологов и гематологов;Да;21.05.2025;Применяется
132_2;Острый промиелоцитарный лейкоз;C92.4;Взрослые;"Ассоциация онкологов России, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";Да;21.05.2025;Применяется
912_1;Сепсис новорождённых;P36.0, P36.1, P36.2, P36.3, P36.4, P36.5, P36.8, P36.9;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов»;Да;20.05.2025;Применяется
913_1;Деформация перегородки носа;J34.2;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;Да;20.05.2025;Применяется
615_3;Недостаточность питания (мальнутриция) у пациентов пожилого и старческого возраста;E43, E44, E46;Взрослые;"Общероссийская общественная организация «Российская ассоциация геронтологов и гериатров», Национальная ассоциация клинического питания и метаболизма
, Союз диетологов, нутрициологов и специалистов пищевой индустрии
";Да;19.05.2025;Применяется
721_2;Привычный выкидыш;N96, O26.2;Взрослые, дети;Российское общество акушеров-гинекологов;Да;16.05.2025;Применяется
911_1;Ботулизм у взрослых;A05.1;Взрослые;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;16.05.2025;Применяется
910_1;Синдром поликистозных яичников;E28.2;Взрослые, дети;Российская ассоциация эндокринологов, Российское общество акушеров-гинекологов;Да;14.05.2025;Применяется
909_1;Полицитемия новорожденного;P61.1;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;14.05.2025;Применяется
908_1;Гипоксическая ишемическая энцефалопатия новорожденного вследствие перенесенной асфиксии при родах ;P21.0, P21.1, P91.0, P91.6;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;13.05.2025;Применяется
550_3;Атипичный гемолитико-уремический синдром;D59.3, M31.1, N08.2, N17.0, N17.1;Взрослые;Ассоциация нефрологов;Да;13.05.2025;Применяется
293_2;Мукополисахаридоз тип VI;E76.2;Взрослые;Союз педиатров России, Ассоциация медицинских генетиков;Да;06.05.2025;Применяется
292_2;Мукополисахаридоз тип II;E76.1;Взрослые;Союз педиатров России, Ассоциация медицинских генетиков;Да;05.05.2025;Применяется
291_2;Мукополисахаридоз тип I;E76.0;Взрослые;Союз педиатров России, Ассоциация медицинских генетиков;Да;30.04.2025;Применяется
317_2;Болезнь Помпе;E74.0;Взрослые, дети;"Союз педиатров России, Ассоциация медицинских генетиков, РОО «Общество специалистов по нервно-мышечным заболеваниям»
";Да;30.04.2025;Применяется
88_5;Первичный гиперпаратиреоз ;C75.0, D35.1, E21.0, E21.2, E21.3, E21.4, E21.5;Взрослые;Российская ассоциация эндокринологов, Ассоциации эндокринных хирургов;Да;23.04.2025;Применяется
5_3;Мужское бесплодие;N46, Z31.6;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";Да;23.04.2025;Применяется
524_3;Первичная надпочечниковая недостаточность ;E27.1, E27.2, E27.3, E27.4, E27.8, E35.1, E89.6;Взрослые;Российская ассоциация эндокринологов;Да;22.04.2025;Применяется
15_3;Эректильная дисфункция ;F52.2, N48.4;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";Да;22.04.2025;Применяется
588_3;Нейрогенная дисфункция нижних мочевыводящих путей;G83.4, G95.8, N31.0, N31.1, N31.2, N31.8, N31.9;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";Да;22.04.2025;Применяется
610_2;Нейроэндокринные опухоли;C10, C11, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26.0, C26.8, C26.9, C33, C34, C37, C38, C39, C44, C48.8, C50, C51, C52, C53, C54, C55, C56, C57, C61, C64, C65, C66, C67, C68, C73, C74.1, C74.9, C75, C78, C80, C97;Взрослые;Российская ассоциация эндокринологов, Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»;Да;18.04.2025;Применяется
907_1;Синдром новорожденного, родившегося  у  матери с сахарным диабетом;P70.0, P70.1;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;15.04.2025;Применяется
906_1;Геморрагическая болезнь плода и новорожденного;P53;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;15.04.2025;Применяется
905_1;Врожденная пневмония;P23.0, P23.1, P23.2, P23.3, P23.4, P23.5, P23.6, P23.8, P23.9;Дети;Союз педиатров России, Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии, Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;15.04.2025;Применяется
283_2;Гипертрофическая кардиомиопатия;I42.1, I42.2;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Российское Общество Медицинских Генетиков;Да;14.04.2025;Применяется
263_2;Анафилактический шок;T78.0, T78.2, T80.5, T88.6;Взрослые, дети;"Российская ассоциация аллергологов и клинических иммунологов, Общероссийская общественная организация ""Федерация анестезиологов и реаниматологов""";Да;14.04.2025;Применяется
477_2;Юношеский артрит;M08.0, M08.1, M08.3, M08.4;Дети;Ассоциация детских ревматологов;Да;11.04.2025;Применяется
650_2;Обсессивно-компульсивное расстройство;F42, F42.0, F42.1, F42.2, F42.8, F42.9;Взрослые;"Общественная организация ""Российское общество психиатров""";Да;10.04.2025;Применяется
22_3;Нейросенсорная тугоухость у детей;H90.3, H90.4, H90.5;Дети;Союз педиатров России, Национальная медицинская ассоциация оториноларингологов;Да;10.02.2025;Применяется
26_4;Юношеский артрит с системным началом ;M08.2;Дети;Ассоциация детских ревматологов;Да;30.01.2025;Применяется
529_2;Острый лимфобластный лейкоз;C83.5, C91.0, C95.0;Дети;Российское общество детских онкологов и гематологов;Да;29.01.2025;Применяется
586_3;Острые миелоидные лейкозы;C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2;Дети;Российское общество детских онкологов и гематологов;Да;28.01.2025;Применяется
134_2;Хронический лимфоцитарный лейкоз /  лимфома из малых лимфоцитов;C91.1;Взрослые;"Ассоциация онкологов России, Российское общество онкогематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";Да;27.01.2025;Применяется
75_2;Опухоли слюнных желез у детей;C06.9, C07, C08, D10.3, D11;Дети;Российское общество детских онкологов и гематологов;Да;27.01.2025;Применяется
69_2;Экстракраниальные герминогенные опухоли;C38.1, C48.0, C49.0, C49.5, C49.9, C56, C62, C62.0, C62.1, C62.9, D15, D20, D21, D28, D29, D36;Дети;Российское общество детских онкологов и гематологов;Да;27.01.2025;Применяется
138_2;Нодальные Т-клеточные лимфомы;C84.5, C84.6, C84.7, C84.9, C86.0, C86.1, C86.5;Взрослые, дети;"Ассоциация онкологов России, Национальное общество детских гематологов, онкологов, Российское общество онкогематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";Да;24.01.2025;Применяется
78_2;Нейробластома;C38.2, C47.0, C47.3, C47.4, C47.5, C47.6, C47.8, C47.9, C48.0, C74.1, C74.9, C76.0, C76.1, C76.2, C76.7, C76.8, D48.3;Дети;Национальное общество детских гематологов, онкологов;Да;24.01.2025;Применяется
3_2;Рак полости носа и придаточных пазух;C30, C31;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока";Да;24.01.2025;Применяется
355_5;Рак поджелудочной железы;C25, D37.7;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество хирургов"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  ";Да;23.01.2025;Применяется
460_4;Рак тела матки и саркомы матки;C54, C55, D07.0;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество специалистов по профилактике и лечению опухолей репродуктивной системы»;Да;23.01.2025;Применяется
144_2;Множественная миелома;C90.0;Взрослые;"Ассоциация онкологов России, Национальное гематологическое общество, Региональная общественная организация ""Общество онкогематологов""";Да;22.01.2025;Применяется
141_2;Миелодиспластический синдром. Миелодиспластические/ миелопролиферативные новообразования ;C92.2, C93.1, C94.6, D46, D46.0, D46.1, D46.2, D46.4, D46.5, D46.6, D46.7, D46.9;Взрослые;"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";Да;22.01.2025;Применяется
